fare_id,route_id,origin_id,destination_id
Fare250yen_11,1,9_0,8_0
Fare250yen_11,1,9_0,7_0
Fare250yen_11,1,9_0,6_0
Fare250yen_11,1,9_0,5_0
Fare250yen_11,1,9_0,4_0
Fare290yen_11,1,9_0,3_0
Fare290yen_11,1,9_0,2_0
Fare340yen_11,1,9_0,1_0
Fare210yen_11,1,8_0,7_0
Fare210yen_11,1,8_0,6_0
Fare250yen_11,1,8_0,5_0
Fare250yen_11,1,8_0,4_0
Fare250yen_11,1,8_0,3_0
Fare250yen_11,1,8_0,2_0
Fare290yen_11,1,8_0,1_0
Fare210yen_11,1,7_0,6_0
Fare210yen_11,1,7_0,5_0
Fare210yen_11,1,7_0,4_0
Fare250yen_11,1,7_0,3_0
Fare250yen_11,1,7_0,2_0
Fare250yen_11,1,7_0,1_0
Fare210yen_11,1,6_0,5_0
Fare210yen_11,1,6_0,4_0
Fare210yen_11,1,6_0,3_0
Fare250yen_11,1,6_0,2_0
Fare250yen_11,1,6_0,1_0
Fare210yen_11,1,5_0,4_0
Fare210yen_11,1,5_0,3_0
Fare250yen_11,1,5_0,2_0
Fare250yen_11,1,5_0,1_0
Fare210yen_11,1,4_0,3_0
Fare210yen_11,1,4_0,2_0
Fare250yen_11,1,4_0,1_0
Fare210yen_11,1,3_0,2_0
Fare210yen_11,1,3_0,1_0
Fare210yen_11,1,2_0,1_0
Fare210yen_11,1,1_0,2_0
Fare210yen_11,1,1_0,3_0
Fare250yen_11,1,1_0,4_0
Fare250yen_11,1,1_0,5_0
Fare250yen_11,1,1_0,6_0
Fare250yen_11,1,1_0,7_0
Fare290yen_11,1,1_0,8_0
Fare340yen_11,1,1_0,9_0
Fare210yen_11,1,2_0,3_0
Fare210yen_11,1,2_0,4_0
Fare250yen_11,1,2_0,5_0
Fare250yen_11,1,2_0,6_0
Fare250yen_11,1,2_0,7_0
Fare250yen_11,1,2_0,8_0
Fare290yen_11,1,2_0,9_0
Fare210yen_11,1,3_0,4_0
Fare210yen_11,1,3_0,5_0
Fare210yen_11,1,3_0,6_0
Fare250yen_11,1,3_0,7_0
Fare250yen_11,1,3_0,8_0
Fare290yen_11,1,3_0,9_0
Fare210yen_11,1,4_0,5_0
Fare210yen_11,1,4_0,6_0
Fare210yen_11,1,4_0,7_0
Fare250yen_11,1,4_0,8_0
Fare250yen_11,1,4_0,9_0
Fare210yen_11,1,5_0,6_0
Fare210yen_11,1,5_0,7_0
Fare250yen_11,1,5_0,8_0
Fare250yen_11,1,5_0,9_0
Fare210yen_11,1,6_0,7_0
Fare210yen_11,1,6_0,8_0
Fare250yen_11,1,6_0,9_0
Fare210yen_11,1,7_0,8_0
Fare250yen_11,1,7_0,9_0
Fare250yen_11,1,8_0,9_0
Fare210yen_11,2,11_0,12_0
Fare210yen_11,2,11_0,4_0
Fare210yen_11,2,11_0,3_0
Fare250yen_11,2,11_0,2_0
Fare250yen_11,2,11_0,1_0
Fare210yen_11,2,12_0,4_0
Fare210yen_11,2,12_0,3_0
Fare250yen_11,2,12_0,2_0
Fare250yen_11,2,12_0,1_0
Fare210yen_11,2,4_0,3_0
Fare210yen_11,2,4_0,2_0
Fare250yen_11,2,4_0,1_0
Fare210yen_11,2,3_0,2_0
Fare210yen_11,2,3_0,1_0
Fare210yen_11,2,2_0,1_0
Fare210yen_11,2,1_0,2_0
Fare210yen_11,2,1_0,3_0
Fare250yen_11,2,1_0,4_0
Fare250yen_11,2,1_0,5_0
Fare250yen_11,2,1_0,6_0
Fare250yen_11,2,1_0,10_0
Fare250yen_11,2,1_0,11_0
Fare250yen_11,2,1_0,12_0
Fare210yen_11,2,1_0,1_0
Fare210yen_11,2,2_0,3_0
Fare210yen_11,2,2_0,4_0
Fare250yen_11,2,2_0,5_0
Fare250yen_11,2,2_0,6_0
Fare250yen_11,2,2_0,10_0
Fare250yen_11,2,2_0,11_0
Fare250yen_11,2,2_0,12_0
Fare210yen_11,2,2_0,2_0
Fare210yen_11,2,3_0,4_0
Fare210yen_11,2,3_0,5_0
Fare210yen_11,2,3_0,6_0
Fare210yen_11,2,3_0,10_0
Fare210yen_11,2,3_0,11_0
Fare210yen_11,2,3_0,12_0
Fare210yen_11,2,3_0,3_0
Fare210yen_11,2,4_0,5_0
Fare210yen_11,2,4_0,6_0
Fare210yen_11,2,4_0,10_0
Fare210yen_11,2,4_0,11_0
Fare210yen_11,2,4_0,12_0
Fare210yen_11,2,4_0,4_0
Fare210yen_11,2,5_0,6_0
Fare210yen_11,2,5_0,10_0
Fare210yen_11,2,5_0,11_0
Fare210yen_11,2,5_0,12_0
Fare210yen_11,2,5_0,4_0
Fare210yen_11,2,5_0,3_0
Fare250yen_11,2,5_0,2_0
Fare250yen_11,2,5_0,1_0
Fare210yen_11,2,6_0,10_0
Fare210yen_11,2,6_0,11_0
Fare210yen_11,2,6_0,12_0
Fare210yen_11,2,6_0,4_0
Fare210yen_11,2,6_0,3_0
Fare250yen_11,2,6_0,2_0
Fare250yen_11,2,6_0,1_0
Fare210yen_11,2,10_0,11_0
Fare210yen_11,2,10_0,12_0
Fare210yen_11,2,10_0,4_0
Fare210yen_11,2,10_0,3_0
Fare250yen_11,2,10_0,2_0
Fare250yen_11,2,10_0,1_0
