trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2+1+Weekdays+801,5:34:00,5:34:00,11_0,8,,0,1,1
2+1+Weekdays+801,5:36:00,5:36:00,12_0,9,,0,0,1
2+1+Weekdays+801,5:38:00,5:38:00,4_0,10,,0,0,1
2+1+Weekdays+801,5:41:00,5:41:00,3_0,11,,0,0,1
2+1+Weekdays+801,5:43:00,5:43:00,2_0,12,,0,0,1
2+1+Weekdays+801,5:46:00,5:46:00,1_0,13,,1,0,1
2+1+Weekdays+802,5:44:00,5:44:00,11_0,8,,0,1,1
2+1+Weekdays+802,5:46:00,5:46:00,12_0,9,,0,0,1
2+1+Weekdays+802,5:48:00,5:48:00,4_0,10,,0,0,1
2+1+Weekdays+802,5:51:00,5:51:00,3_0,11,,0,0,1
2+1+Weekdays+802,5:53:00,5:53:00,2_0,12,,0,0,1
2+1+Weekdays+802,5:55:00,5:55:00,1_0,13,,1,0,1
2+1+Weekdays+803,5:53:00,5:53:00,11_0,8,,0,1,1
2+1+Weekdays+803,5:55:00,5:55:00,12_0,9,,0,0,1
2+1+Weekdays+803,5:57:00,5:57:00,4_0,10,,0,0,1
2+1+Weekdays+803,6:00:00,6:00:00,3_0,11,,0,0,1
2+1+Weekdays+803,6:02:00,6:02:00,2_0,12,,0,0,1
2+1+Weekdays+803,6:04:00,6:04:00,1_0,13,,1,0,1
2+1+Weekdays+804,5:58:00,5:58:00,11_0,8,,0,1,1
2+1+Weekdays+804,6:00:00,6:00:00,12_0,9,,0,0,1
2+1+Weekdays+804,6:02:00,6:02:00,4_0,10,,0,0,1
2+1+Weekdays+804,6:05:00,6:05:00,3_0,11,,0,0,1
2+1+Weekdays+804,6:07:00,6:07:00,2_0,12,,0,0,1
2+1+Weekdays+804,6:09:00,6:09:00,1_0,13,,1,0,1
2+1+Weekdays+805,5:50:00,5:50:00,1_0,1,,0,1,1
2+1+Weekdays+805,5:52:00,5:52:00,2_0,2,,0,0,1
2+1+Weekdays+805,5:54:00,5:54:00,3_0,3,,0,0,1
