route_id,service_id,trip_id,trip_headsign,direction_id
2,Weekdays,2+1+Weekdays+801,三宮,1
2,Weekdays,2+1+Weekdays+802,三宮,1
2,Weekdays,2+1+Weekdays+803,三宮,1
2,Weekdays,2+1+Weekdays+804,三宮,1
2,Weekdays,2+1+Weekdays+805,北埠頭,1
2,Weekdays,2+1+Weekdays+806,三宮,1
2,Weekdays,2+1+Weekdays+807,三宮,1
2,Weekdays,2+1+Weekdays+808,三宮,1
2,Weekdays,2+1+Weekdays+809,北埠頭,1
2,Weekdays,2+1+Weekdays+810,三宮,1
2,Weekdays,2+1+Weekdays+811,三宮,1
2,Weekdays,2+1+Weekdays+812,北埠頭,1
2,Weekdays,2+1+Weekdays+813,三宮,1
2,Weekdays,2+1+Weekdays+814,北埠頭,1
2,Weekdays,2+1+Weekdays+815,三宮,1
2,Weekdays,2+1+Weekdays+816,北埠頭,1
2,Weekdays,2+1+Weekdays+817,北埠頭,1
2,Weekdays,2+1+Weekdays+818,三宮,1
2,Weekdays,2+1+Weekdays+819,北埠頭,1
2,Weekdays,2+1+Weekdays+820,三宮,1
2,Weekdays,2+1+Weekdays+821,北埠頭,1
2,Weekdays,2+1+Weekdays+822,三宮,1
2,Weekdays,2+1+Weekdays+823,北埠頭,1
2,Weekdays,2+1+Weekdays+824,三宮,1
2,Weekdays,2+1+Weekdays+825,北埠頭,1
2,Weekdays,2+1+Weekdays+826,北埠頭,1
2,Weekdays,2+1+Weekdays+827,北埠頭,1
2,Weekdays,2+1+Weekdays+828,北埠頭,1
2,Weekdays,2+1+Weekdays+829,北埠頭,1
2,Weekdays,2+1+Weekdays+830,北埠頭,1
2,Weekdays,2+1+Weekdays+831,北埠頭,1
2,Weekdays,2+1+Weekdays+832,北埠頭,1
2,Weekdays,2+1+Weekdays+833,北埠頭,1
2,Weekdays,2+1+Weekdays+834,北埠頭,1
2,Weekdays,2+1+Weekdays+835,北埠頭,1
2,Weekdays,2+1+Weekdays+836,北埠頭,1
2,Weekdays,2+1+Weekdays+837,北埠頭,1
2,Weekdays,2+1+Weekdays+838,北埠頭,1
2,Weekdays,2+1+Weekdays+839,北埠頭,1
2,Weekdays,2+1+Weekdays+840,北埠頭,1
2,Weekdays,2+1+Weekdays+841,北埠頭,1
2,Weekdays,2+1+Weekdays+842,北埠頭,1
2,Weekdays,2+1+Weekdays+843,北埠頭,1
2,Weekdays,2+1+Weekdays+844,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+845,北埠頭,1
2,Weekdays,2+1+Weekdays+846,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+847,北埠頭,1
2,Weekdays,2+1+Weekdays+848,北埠頭,1
2,Weekdays,2+1+Weekdays+849,北埠頭,1
2,Weekdays,2+1+Weekdays+850,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+851,北埠頭,1
2,Weekdays,2+1+Weekdays+852,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+853,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+854,北埠頭,1
2,Weekdays,2+1+Weekdays+855,中埠頭止まり,1
2,Weekdays,2+1+Weekdays+856,北埠頭,1
2,Weekdays,2+1+Weekdays+857,北埠頭,1
2,Weekdays,2+1+Weekdays+858,北埠頭,1
2,Weekdays,2+1+Weekdays+859,北埠頭,1
2,Weekdays,2+1+Weekdays+860,北埠頭,1
2,Weekdays,2+1+Weekdays+861,北埠頭,1
2,Weekdays,2+1+Weekdays+862,北埠頭,1
2,Weekdays,2+1+Weekdays+863,北埠頭,1
2,Weekdays,2+1+Weekdays+864,北埠頭,1
2,Weekdays,2+1+Weekdays+865,北埠頭,1
2,Weekdays,2+1+Weekdays+866,北埠頭,1
2,Weekdays,2+1+Weekdays+867,北埠頭,1
2,Weekdays,2+1+Weekdays+868,北埠頭,1
2,Weekdays,2+1+Weekdays+869,北埠頭,1
2,Weekdays,2+1+Weekdays+870,北埠頭,1
2,Weekdays,2+1+Weekdays+871,北埠頭,1
2,Weekdays,2+1+Weekdays+872,北埠頭,1
2,Weekdays,2+1+Weekdays+873,北埠頭,1
2,Weekdays,2+1+Weekdays+874,北埠頭,1
2,Weekdays,2+1+Weekdays+875,北埠頭,1
